,Age,Fare,Pclass,Sex=male,SibSp,Parch,Embarked=S,Cabin=A,Cabin=B,Cabin=C,Cabin=D,Cabin=E,Cabin=F,Cabin=G,Cabin=T,Age_group=0-22,Fare_group=0-8,Title=Mr,Sex=female,Embarked=C,Age_group=35-80,Fare_group=26-513,Title=Mrs,Age_group=22-28,Title=Miss,Age_group=28-35,Fare_group=8-26,Embarked=Q,Title=Master,Title=Royalty,Title=Rev,Title=Dr,Title=Officer,Survived
Title=Mr,0.43403598475275673,0.15778760382468116,0.08975025824817977,0.9775306395516073,0.28865281313647456,0.3536639017025299,0.16445490475863717,0.0,0.09758544498349807,0.09221466369808325,0.024596243911433394,0.0,0.03060865630476184,0.0,0.0,0.27320507745644,0.4007433511587165,1.0,0.9775306395516073,0.09584351761356459,0.0,0.3070531640748231,0.6764644412609984,0.16998590918179132,0.8075861655988942,0.0482685914735082,0.04498842278327096,0.10402734853302108,0.3787492471676484,0.10194078369251044,0.11890457499393534,0.13383511112712979,0.10194078369251044,0.7564569637601302
Sex=female,0.13902481174599582,0.1767410420638628,0.07828112220909735,0.9999937120206085,0.19297404819576322,0.23156775442728592,0.1746202961067066,0.09491480268200615,0.09532103413703678,0.06702475003003112,0.044911769678750345,0.05432490126810542,0.0,0.0,0.0,0.10622878614397302,0.29381940314582056,0.9775306395516073,1.0,0.11367378843249819,0.0,0.2000954619851916,0.7563677377724819,0.06761477416420182,0.8842022576824313,0.0,0.04738426499043723,0.09633313901064491,0.23446053369595263,0.0,0.05038541654957111,0.0,0.0334489057656051,0.7503215961090612
Embarked=C,0.030230267540330303,0.2558243200801217,0.1799164270121624,0.11367378843249819,0.10384256534876218,0.0,0.9404793019290416,0.11716922727100013,0.1379545875666837,0.17969181328161635,0.06369446198079186,0.0,0.0,0.0,0.0,0.0,0.09764577624916039,0.09584351761356459,0.11367378843249819,1.0,0.0,0.34236561982618124,0.08514926500818104,0.0,0.0,0.0,0.22632749294308205,0.21700489060006745,0.0,0.07780247779728555,0.0,0.0,0.0,0.2516599410524199
Age_group=35-80,0.9886913369329423,0.1507771210159299,0.20511984596566032,0.0,0.12011890946151756,0.16512800539353437,0.05364820561183457,0.1450832503510686,0.076489840758178,0.22003302358681257,0.08249742606989319,0.1977680185862173,0.0,0.0,0.0,0.49709367520739256,0.23435410517105215,0.0,0.0,0.0,1.0,0.3439207892224099,0.22570711934939228,0.598570113163099,0.24077760168860884,0.35916105325838876,0.10448982332037965,0.15530741491378525,0.17479843791777014,0.11373880315922624,0.08776514232533732,0.06484237932413296,0.17186975759387593,0.0
Fare_group=26-513,0.35165718362595794,0.6124130340329335,0.4845858061906519,0.20009546198519138,0.316850548015854,0.3180894250061039,0.14455578204797137,0.21147534269007384,0.24569856984662033,0.5481456845290869,0.11975824616673382,0.2415351004431456,0.020206746891749127,0.05638416790541372,0.0,0.0,0.6186312295052286,0.3070531640748231,0.2000954619851916,0.34236561982618124,0.3439207892224099,1.0,0.17182813110748188,0.2556503312696126,0.055090166869625326,0.013387386906872016,0.779899557163068,0.23205352567392942,0.15839797566141794,0.07604516146562369,0.0,0.0,0.13227744918640927,0.3816851153183556
Title=Mrs,0.2500584780864312,0.15524575434226917,0.10446099184524328,0.756367737772482,0.31758526692782313,0.25288907594385585,0.0,0.03600699632312908,0.0340530658087183,0.12318151781858427,0.037788193964356315,0.0,0.0,0.0,0.0,0.22498862945618742,0.34855866602325525,0.6764644412609984,0.7563677377724819,0.08514926500818104,0.22570711934939228,0.17182813110748188,1.0,0.03717116200712748,0.3106885043694506,0.07352643651751135,0.1377123838701292,0.12196397597325104,0.11429151090522034,0.0,0.0,0.0,0.0,0.5052661696738886
Age_group=22-28,0.8800202017506993,0.055160039945287405,0.09236249865180175,0.06761477416420182,0.1680690859812632,0.16351542480920667,0.22302705679718204,0.0,0.060953529019122266,0.0,0.04572190387501995,0.05579821491262551,0.0,0.0,0.0,0.6206210997459564,0.28506993691750243,0.16998590918179132,0.06761477416420182,0.0,0.598570113163099,0.2556503312696126,0.03717116200712748,1.0,0.0,0.4570300225267743,0.0,0.29306274057017895,0.1578887417798941,0.030779751735286624,0.0,0.0,0.030779751735286624,0.10752102479630372
Title=Miss,0.3468555590075233,0.1074856533263503,0.0,0.8842022576824313,0.13719488248176837,0.17384237712178063,0.20257919198864408,0.07092102771828135,0.07756853395143928,0.0,0.0,0.0,0.0,0.0,0.0,0.34168298782467244,0.0,0.8075861655988942,0.8842022576824313,0.0,0.24077760168860884,0.055090166869625326,0.3106885043694506,0.0,1.0,0.059137306702628546,0.0,0.2474864184463068,0.1546174813379181,0.0,0.0,0.0,0.0,0.49721361395517855
Age_group=28-35,0.55532299699711,0.06479446303946851,0.054452089452909046,0.0,0.056681795339235355,0.0867796334546187,0.050477082175554036,0.0,0.02644460291798692,0.0,0.0,0.0,0.0,0.0,0.0,0.3743659164824125,0.04080144960943397,0.0482685914735082,0.0,0.0,0.35916105325838876,0.013387386906872016,0.07352643651751135,0.4570300225267743,0.059137306702628546,1.0,0.10506511982520755,0.05047538414347037,0.12087241997985455,0.0,0.0,0.0,0.0,0.04237395928809231
Fare_group=8-26,0.0,0.347042190868281,0.3097264887465489,0.04738426499043723,0.13216488727990883,0.10967532065144774,0.2905825396074752,0.11352794456557272,0.14748786826353882,0.3137346355031168,0.044503114133348086,0.04550111992594578,0.0,0.0,0.0,0.0,0.6982809833366357,0.04498842278327096,0.04738426499043723,0.22632749294308205,0.10448982332037965,0.779899557163068,0.1377123838701292,0.0,0.0,0.10506511982520755,1.0,0.13293422184926676,0.0,0.049046700411911864,0.07650163255836685,0.0,0.049046700411911864,0.059845779287501844
Embarked=Q,0.27129087710015365,0.08616383306188617,0.1411881766786118,0.09633313901064486,0.06949981376640872,0.0717224799140968,0.7005130161818308,0.0,0.022847958825760642,0.0,0.022506340076816293,0.0,0.0,0.0,0.0,0.07608137465895422,0.40413587061582007,0.10402734853302108,0.09633313901064491,0.21700489060006745,0.15530741491378525,0.23205352567392942,0.12196397597325104,0.29306274057017895,0.2474864184463068,0.05047538414347037,0.13293422184926676,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Title=Master,0.7660846904628257,0.0,0.04332484397504211,0.23446053369595263,0.41815092965093364,0.3597756638412869,0.0,0.0,0.0,0.09595521738710239,0.0,0.0,0.1252268546751142,0.0,0.0,0.46677748762633425,0.18960667672359782,0.3787492471676484,0.23446053369595263,0.0,0.17479843791777014,0.15839797566141794,0.11429151090522034,0.1578887417798941,0.1546174813379181,0.12087241997985455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11332578220581949
Title=Royalty,0.1092150775324858,0.0,0.07490747746458541,0.0,0.0,0.0,0.02771627509947353,0.25174276084977754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10194078369251044,0.0,0.07780247779728555,0.11373880315922624,0.07604516146562369,0.0,0.030779751735286624,0.0,0.0,0.049046700411911864,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Title=Rev,0.1268697294805186,0.0,0.09324626425558578,0.05038541654957106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014149855339074839,0.11890457499393534,0.05038541654957111,0.0,0.08776514232533732,0.0,0.0,0.0,0.0,0.0,0.07650163255836685,0.0,0.0,0.0,1.0,0.0,0.0,0.06014704557451115
Title=Dr,0.16224524286742947,0.0,0.059222649072773144,0.0,0.10201046836714694,0.0,0.0,0.0,0.0,0.0,0.01171958346721575,0.0,0.0,0.0,0.0,0.028650095596976476,0.03398313098247032,0.13383511112712979,0.0,0.0,0.06484237932413296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Title=Officer,0.24780268983242265,0.0,0.07490747746458541,0.0334489057656051,0.0,0.0,0.0,0.05522424779431952,0.09816630483039182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10194078369251044,0.0334489057656051,0.0,0.17186975759387593,0.13227744918640927,0.0,0.030779751735286624,0.0,0.0,0.049046700411911864,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Survived,0.20698736959854808,0.26538725515480255,0.20546350445675682,0.7503215961090612,0.17565156489060194,0.14708012596282813,0.2232185151089648,0.0,0.13561339710280387,0.15232435062790092,0.087043850648342,0.21929220490916757,0.05468194370232688,0.0,0.0,0.05070413270407503,0.31683134827453674,0.7564569637601302,0.7503215961090612,0.2516599410524199,0.0,0.3816851153183556,0.5052661696738886,0.10752102479630372,0.49721361395517855,0.04237395928809231,0.059845779287501844,0.0,0.11332578220581949,0.0,0.06014704557451115,0.0,0.0,1.0
